Group	File_0_Feature	File_0_m/z	File_1_Feature	File_1_m/z	File_2_Feature	File_2_m/z	File_3_Feature	File_3_m/z	File_4_Feature	File_4_m/z
305			870	471.2498	1955	471.2502	799	471.2498		
306			870	471.2498	1955	471.2502	856	471.2492		
307			117	463.1530			98	463.1577		
308			1069	440.3582	2125	440.3589	912	440.3589		
309			137	580.2310			114	580.2318		
310			1427	508.3581	2816	508.3585	1174	508.3588		
311			622	618.3272	1151	618.3261	568	618.3276		
312			623	621.2750			584	621.2764		
313					2536	410.3756	1110	410.3742		
314	18	538.1662			25	538.1640				
315					2951	405.3007	1227	405.3000		
316			1291	377.3268			1062	377.3263		
317			106	376.2256	324	376.2240	285	376.2235		
318			613	659.3307	1157	659.3308	553	659.3357		
319	23	135.1017	20	135.1017			6	135.1009	21	135.1017
320			707	718.3864	1355	718.3829	635	718.3867		
321			707	718.3864	1356	718.3885	635	718.3867		
322			475	251.1849	907	251.1858	457	251.1852		
323			1449	464.3687	2892	464.3675			856	464.3774
324			1091	206.0890	2215	206.0894			620	206.0890
325			874	415.3054	1221	415.3113				
326			1141	458.3487	2282	458.3491	959	458.3480		
327			1622	312.3265	3092	312.3261	1261	312.3264		
328			1622	312.3265	3092	312.3261	1217	312.3258		
329			1622	312.3265	2960	312.3256	1261	312.3264		
330			1622	312.3265	2960	312.3256	1217	312.3258		
331			1642	386.4003			1384	386.3994		
332			274	622.3603	349	622.3662	191	622.3566		
333	193	850.2528	1604	850.2535	3262	850.2512	1348	850.2515	963	850.2519
334					2874	262.1510			823	262.1533
335			1090	150.0274	2214	150.0277	936	150.0271	622	150.0273
336			272	593.2440	677	593.2438	240	593.2436		
337			935	245.1727	1871	245.1732	809	245.1731		
338	173	777.2341	1549	777.2342	3115	777.2366	1270	777.2324		
339			1630	596.4878	3350	596.4899	1375	596.4887		
340	30	372.9452	27	372.9442			43	372.9437	43	372.9442
341	117	802.6047					1207	802.6130		
342			1413	310.3109	2755	310.3110	1164	310.3104		
343			1181	374.2484	2330	374.2491	973	374.2491		
344			1466	450.3412	2891	450.3413	1201	450.3402	840	450.3395
345			248	788.4721			275	788.4713		
346			905	413.2915	1749	413.2921	745	413.2909		
347			858	413.2909	1749	413.2921	745	413.2909		
348			1443	371.3158	2865	371.3158	1181	371.3154		
349			1182	375.2516	2336	375.2527	980	375.2520		
350			362	779.4868			334	779.4850		
351			1138	547.4045	2273	547.4054				
352			551	736.3975	1041	736.3969	523	736.3973		
353			747	869.4018			658	869.4012		
354			1036	327.0790	2096	327.0788			458	327.0781
355			730	907.4591	1362	907.4634				
356			1737	758.2205	3588	758.2219	1443	758.2204	1016	758.2238
357			1154	463.3434	2303	463.3426				
358			562	470.2606	1056	470.2609	535	470.2597		
359			912	290.2229	1834	290.2233	790	290.2232		
360			312	456.2452			293	456.2445		
361					3546	700.5733	1431	700.5745		
362			1538	660.4583	3113	660.4611				
363			189	335.2166	576	335.2178	168	335.2167		
364			451	906.5784			338	906.5756		
365			767	966.5121	1509	966.5144	677	966.5087		
366			754	687.4288	1004	687.4307	668	687.4329		
367			1492	339.3454	2710	339.3375	1224	339.3452		
368			574	794.3976	1072	794.3948	544	794.3927		
369			674	849.4185	1287	849.4142	597	849.4178		
370			719	675.3636	1350	675.3649	632	675.3623		
371			460	675.3596	1350	675.3649	632	675.3623		
372			1006	375.2000	2018	375.2019	876	375.2011		
373			477	473.3193			463	473.3130		
374			1279	378.3297	2444	378.3320	1063	378.3317		
375			558	879.4296	1050	879.4349	509	879.4333		
376			1703	441.4132	3095	441.4119				
377			805	409.2629			701	409.2592		
378			217	386.2390	180	386.2397	287	386.2372		
379			314	461.2027			296	461.1993		
380			228	594.2478	755	594.2530	241	594.2457		
