Group	File_0_Feature	File_0_m/z	File_1_Feature	File_1_m/z	File_2_Feature	File_2_m/z	File_3_Feature	File_3_m/z	File_4_Feature	File_4_m/z
398			1637	996.7757	3359	996.7749	1381	996.7698		
399			197	434.2861	542	434.2843	153	434.2850		
400			1733	574.5407	3584	574.5415	1438	574.5401		
401			234	617.4078	443	617.3964	250	617.4049		
402			1010	402.2287	2022	402.2289	877	402.2286		
403	194	851.2555	1605	851.2499	3263	851.2537	1350	851.2582		
404			1582	444.4052	3133	444.4046	1330	444.4053		
405	26	316.9864	30	316.9864					30	316.9857
406			274	622.3603	349	622.3662	191	622.3566		
407			130	449.2784	388	449.2797	111	449.2769		
408			1183	732.5462	2333	732.5486	983	732.5468		
409			142	750.3368	415	750.3462	116	750.3383		
410			587	704.3717	1124	704.3705	541	704.3716		
411			189	335.2166	576	335.2178	168	335.2167		
412			75	345.2318	278	345.2323	75	345.2310		
413			497	285.1334	910	285.1339	458	285.1330		
414			449	854.4270	869	854.4289	396	854.4218		
415			1335	365.3460	2532	365.3457	1116	365.3457		
416			961	473.2647	1902	473.2646	831	473.2642		
417	31	414.9548	31	414.9551			44	414.9546	44	414.9545
418			547	514.2863	1026	514.2876	483	514.2877		
419			699	996.4871	1318	996.4888	618	996.4870		
420			959	447.1997	1883	447.1995			253	447.1980
421			336	574.3806	671	574.3823	310	574.3782		
422			1327	391.3421	2520	391.3419	1117	391.3427		
423			333	558.3627	309	558.3493	233	558.3551		
424			935	245.1727	1871	245.1732	809	245.1731		
425			1449	464.3687	2892	464.3675			856	464.3774
426	213	927.2685	1636	927.2695	3358	927.2695				
427	141	743.5861	1515	743.5878	3043	743.5866	1245	743.5882		
428			1725	619.5730	3561	619.5711	1434	619.5706		
429			1562	670.4679	3156	670.4690	1294	670.4666		
430			954	658.3750	1889	658.3745	812	658.3786		
431			1057	573.4415	2122	573.4429	906	573.4431		
432			1105	574.3384	2222	574.3392			629	574.3400
433			1068	397.3355	2135	397.3363	911	397.3358		
434			641	661.3481	1186	661.3492	585	661.3478		
435			622	618.3272	1151	618.3261	568	618.3276		
436			824	455.3099	652	455.3087	714	455.3118		
437			1200	602.4760	2354	602.4759	1001	602.4760		
438			440	778.3727	860	778.3717	413	778.3726		
439			230	600.3779	607	600.3699	243	600.3773		
440			331	556.3504	748	556.3518	306	556.3502		
441			519	969.4633	942	969.4623	480	969.4582		
442			533	643.3301	1002	643.3294	498	643.3281		
443			1517	400.3499	3052	400.3511	1248	400.3503		
444			1308	390.2787	2460	390.2790	1090	390.2784	803	390.2712
445			729	906.4587	1408	906.4525	649	906.4607		
446			83	399.2064	286	399.2082	89	399.2063		
447	189	870.5991			3281	870.5987	1326	870.6013	975	870.5997
448			1267	658.5114	2410	658.5094	1044	658.5115		
449			1581	427.3786	3147	427.3790	1328	427.3773		
450			1460	408.3167	2883	408.3112	1198	408.3161	831	408.3107
451			965	246.1853	1932	246.1862	840	246.1853		
452			1573	992.7408	3174	992.7401	1312	992.7394		
453	151	766.6459	1533	766.6467	2994	766.6499				
454			1542	433.3325	3106	433.3324	1264	433.3307		
455			529	607.2587	996	607.2596	494	607.2593		
456			1101	363.2304			945	363.2296	639	363.2292
457			352	676.3365	700	676.3389	266	676.3430		
458			221	428.2165	291	428.2169	58	428.2150		
459			917	327.0096	1852	327.0093			439	327.0042
460			260	500.2715	1370	500.2810	300	500.2709		
461			1430	509.3609	2817	509.3623	1175	509.3615		
462			1294	415.2822	2446	415.2840	1068	415.2831		
